pet_id,date,food_amount,sleep_hours,meow_count,weight_kg,name,species,breed,gender,birth_year
pet006,2024-10-25,286,13.4,3,4.0,Sandra,dog,Siamese,female,2022
pet006,2024-09-25,228,13.4,2,4.4,Sandra,dog,Siamese,female,2022
pet013,2025-06-17,191,12.9,4,2.5,Adam,dog,British Shorthair,male,2018
pet014,2025-04-05,204,17.9,6,5.6,Kent,dog,Munchkin,female,2016
pet009,2024-11-13,191,12.4,6,4.9,Justin,cat,Persian,male,2015
pet018,2024-07-31,294,14.1,8,4.5,Amy,cat,Bengal,female,2016
pet020,2024-09-08,211,15.9,5,5.2,Veronica,cat,Munchkin,male,2022
pet019,2024-10-27,197,16.1,8,2.6,Mark,cat,Munchkin,female,2020
pet007,2024-11-04,263,17.9,7,2.7,Nicholas,dog,Persian,female,2018
pet008,2025-06-16,291,13.0,0,6.4,Jessica,cat,British Shorthair,female,2022
pet012,2024-07-16,267,16.2,1,6.4,Jessica,dog,Bengal,male,2019
pet016,2024-11-27,260,16.4,2,5.0,Mark,cat,British Shorthair,male,2019
pet014,2025-05-10,217,13.2,2,5.4,Kent,dog,Munchkin,female,2016
pet001,2024-12-03,177,12.9,1,3.7,Charlene,dog,Siamese,female,2022
pet002,2025-03-19,285,15.6,0,5.6,Steven,cat,Munchkin,male,2022
pet005,2024-10-14,280,15.9,4,3.9,Michael,cat,Persian,female,2018
pet003,2025-03-25,178,13.2,9,5.4,Angelica,dog,Siamese,male,2020
pet005,2025-07-05,249,16.8,4,5.7,Michael,cat,Persian,female,2018
pet017,2024-09-30,197,17.4,2,2.8,Tracy,cat,Siamese,male,2017
pet010,2025-03-28,232,13.6,9,2.6,Chris,dog,British Shorthair,male,2021
pet018,2025-06-11,286,14.0,1,3.2,Amy,cat,Bengal,female,2016
pet013,2024-10-29,293,12.2,10,4.3,Adam,dog,British Shorthair,male,2018
pet014,2025-06-13,296,12.6,5,3.1,Kent,dog,Munchkin,female,2016
pet004,2024-10-28,153,15.5,6,4.2,Oscar,cat,Bengal,female,2019
pet007,2024-11-27,298,14.4,5,3.5,Nicholas,dog,Persian,female,2018
pet008,2025-01-25,255,14.3,1,5.0,Jessica,cat,British Shorthair,female,2022
pet013,2025-05-25,190,17.2,9,3.3,Adam,dog,British Shorthair,male,2018
pet005,2025-04-09,169,15.9,1,4.8,Michael,cat,Persian,female,2018
pet001,2025-04-16,266,16.3,7,5.1,Charlene,dog,Siamese,female,2022
pet014,2025-05-18,180,13.7,3,5.0,Kent,dog,Munchkin,female,2016
pet007,2025-06-18,231,12.1,4,5.2,Nicholas,dog,Persian,female,2018
pet002,2024-08-07,283,12.9,9,5.5,Steven,cat,Munchkin,male,2022
pet017,2025-03-13,236,15.2,10,5.5,Tracy,cat,Siamese,male,2017
pet010,2025-05-16,242,13.7,2,6.1,Chris,dog,British Shorthair,male,2021
pet018,2025-01-20,193,15.0,7,5.8,Amy,cat,Bengal,female,2016
pet004,2025-02-09,287,14.0,10,5.6,Oscar,cat,Bengal,female,2019
pet002,2024-11-13,262,15.9,7,4.9,Steven,cat,Munchkin,male,2022
pet011,2024-07-18,207,16.4,7,5.1,Lisa,dog,Siamese,female,2020
pet015,2024-12-31,259,16.0,8,5.4,Jose,dog,Munchkin,female,2016
pet004,2024-09-30,184,15.4,9,4.1,Oscar,cat,Bengal,female,2019
pet010,2025-05-24,178,14.5,7,3.7,Chris,dog,British Shorthair,male,2021
pet014,2024-11-30,225,16.6,4,4.6,Kent,dog,Munchkin,female,2016
pet005,2024-08-22,178,15.2,9,4.4,Michael,cat,Persian,female,2018
pet005,2025-03-10,216,16.2,0,3.4,Michael,cat,Persian,female,2018
pet003,2025-07-01,168,13.5,6,2.7,Angelica,dog,Siamese,male,2020
pet013,2025-04-11,200,15.6,0,4.8,Adam,dog,British Shorthair,male,2018
pet010,2024-08-18,263,18.0,1,3.3,Chris,dog,British Shorthair,male,2021
pet014,2024-08-30,246,16.0,8,5.3,Kent,dog,Munchkin,female,2016
pet010,2024-09-07,215,15.3,10,3.7,Chris,dog,British Shorthair,male,2021
pet006,2025-03-04,202,13.3,4,2.8,Sandra,dog,Siamese,female,2022
pet014,2025-02-14,210,12.4,6,4.1,Kent,dog,Munchkin,female,2016
pet004,2025-03-20,164,15.5,2,5.8,Oscar,cat,Bengal,female,2019
pet010,2025-04-21,287,17.0,8,4.5,Chris,dog,British Shorthair,male,2021
pet002,2024-11-11,181,17.6,0,5.3,Steven,cat,Munchkin,male,2022
pet009,2024-09-25,188,13.0,3,6.1,Justin,cat,Persian,male,2015
pet010,2024-08-14,246,12.7,3,3.8,Chris,dog,British Shorthair,male,2021
pet004,2024-07-07,226,12.6,0,2.8,Oscar,cat,Bengal,female,2019
pet005,2024-10-23,247,16.7,3,6.1,Michael,cat,Persian,female,2018
pet020,2025-03-15,150,13.6,8,6.4,Veronica,cat,Munchkin,male,2022
