pet_id,name,species,breed,date,risk_score,health_alert_level,food_amount,is_food_anomaly,sleep_hours,is_sleep_anomaly,weight_kg,is_weight_anomaly,meow_count,is_meow_anomaly,note_text,note_is_stressful,note_is_illness_related
pet011,Lisa,dog,Siamese,2025-07-05,3,Cam (Cảnh báo),251.0,false,17.5,true,3.1,true,1,false,,false,false
pet011,Lisa,dog,Siamese,2025-07-05,3,Cam (Cảnh báo),253.0,false,17.6,true,4.6,true,5,false,,false,false
pet017,Tracy,cat,Siamese,2025-07-05,3,Cam (Cảnh báo),289.0,true,14.4,false,6.5,true,9,false,,false,false
pet020,Veronica,cat,Munchkin,2025-07-05,3,Cam (Cảnh báo),295.0,true,16.5,false,6.4,true,0,false,,false,false
pet003,Angelica,dog,Siamese,2025-07-05,2,Vàng (Theo dõi),222.0,false,12.3,false,4.9,true,7,false,,false,false
pet006,Sandra,dog,Siamese,2025-07-05,2,Vàng (Theo dõi),227.0,false,15.6,false,3.3,true,10,false,,false,false
pet006,Sandra,dog,Siamese,2025-07-05,2,Vàng (Theo dõi),252.0,false,12.8,false,4.4,true,10,false,,false,false
pet007,Nicholas,dog,Persian,2025-07-05,2,Vàng (Theo dõi),186.0,false,13.5,false,3.3,true,1,false,,false,false
pet007,Nicholas,dog,Persian,2025-07-05,2,Vàng (Theo dõi),293.0,false,13.4,false,3.4,true,8,false,,false,false
pet010,Chris,dog,British Shorthair,2025-07-05,2,Vàng (Theo dõi),181.0,false,15.7,false,4.1,true,1,false,,false,false
pet014,Kent,dog,Munchkin,2025-07-05,1,Vàng (Theo dõi),279.0,false,16.3,true,6.4,false,3,false,,false,false
pet014,Kent,dog,Munchkin,2025-07-05,1,Vàng (Theo dõi),218.0,false,17.9,true,5.3,false,1,false,,false,false
pet004,Oscar,cat,Bengal,2025-07-05,1,Vàng (Theo dõi),258.0,true,13.2,false,5.9,false,9,false,,false,false
pet005,Michael,cat,Persian,2025-07-05,1,Vàng (Theo dõi),295.0,true,17.1,false,5.9,false,4,false,,false,false
pet005,Michael,cat,Persian,2025-07-05,1,Vàng (Theo dõi),249.0,true,16.8,false,5.7,false,4,false,,false,false
pet008,Jessica,cat,British Shorthair,2025-07-05,1,Vàng (Theo dõi),248.0,true,14.2,false,5.2,false,3,false,,false,false
pet008,Jessica,cat,British Shorthair,2025-07-05,1,Vàng (Theo dõi),291.0,true,13.0,false,3.5,false,6,false,,false,false
pet009,Justin,cat,Persian,2025-07-05,1,Vàng (Theo dõi),295.0,true,17.4,false,4.3,false,1,false,,false,false
pet019,Mark,cat,Munchkin,2025-07-05,1,Vàng (Theo dõi),249.0,true,17.1,false,6.0,false,4,false,,false,false
pet010,Chris,dog,British Shorthair,2025-07-04,3,Cam (Cảnh báo),175.0,false,17.4,true,3.6,true,7,false,,false,false
pet009,Justin,cat,Persian,2025-07-04,3,Cam (Cảnh báo),300.0,true,15.5,false,6.2,true,4,false,,false,false
pet003,Angelica,dog,Siamese,2025-07-04,2,Vàng (Theo dõi),253.0,false,15.1,false,3.2,true,6,false,,false,false
pet003,Angelica,dog,Siamese,2025-07-04,2,Vàng (Theo dõi),275.0,false,15.8,false,4.9,true,4,false,,false,false
pet007,Nicholas,dog,Persian,2025-07-04,2,Vàng (Theo dõi),226.0,false,14.3,false,3.0,true,0,false,,false,false
pet011,Lisa,dog,Siamese,2025-07-04,2,Vàng (Theo dõi),276.0,false,13.7,false,2.6,true,10,false,,false,false
pet014,Kent,dog,Munchkin,2025-07-04,2,Vàng (Theo dõi),171.0,false,15.7,false,4.8,true,2,false,,false,false
pet015,Jose,dog,Munchkin,2025-07-04,2,Vàng (Theo dõi),171.0,false,14.3,false,4.8,true,2,false,,false,false
pet005,Michael,cat,Persian,2025-07-04,2,Vàng (Theo dõi),212.0,false,12.0,false,6.5,true,2,false,,false,false
pet001,Charlene,dog,Siamese,2025-07-04,1,Vàng (Theo dõi),231.0,false,17.6,true,5.2,false,2,false,,false,false
pet010,Chris,dog,British Shorthair,2025-07-04,1,Vàng (Theo dõi),160.0,false,17.1,true,6.0,false,10,false,,false,false
pet011,Lisa,dog,Siamese,2025-07-04,1,Vàng (Theo dõi),180.0,false,17.7,true,5.5,false,1,false,,false,false
